year2,sic1,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp,d_flag
1984,20,278361,335516,19167655,18571514,36455,11,30057,9,3043124,748149,2294975,4,16.4,1880374,668490,1211884,3.6,10.1,1162750,6.3,20.2,18680,18779,186357,0
1984,40,136709,185236,4768793,4683042,29520,16.3,20508,11.3,953501,419132,534369,8.9,20.4,782140,227545,554595,4.9,16.7,171361,3.7,33.4,12233,12360,79969,0
1984,50,316126,415374,5506373,5341520,47442,11.5,38914,9.5,1071317,387116,684201,7.2,20.1,742055,285952,456103,5.4,13.9,329262,6.2,27.8,21295,21433,115225,0
1984,52,923227,1292944,16083028,15631472,174914,13.6,160694,12.5,3340220,1520966,1819254,9.7,21.4,2437453,1080721,1356732,6.9,15.6,902767,5.8,31.2,99648,100283,534104,0
1984,60,319630,431075,5816615,5652789,54084,12.8,40577,9.6,1072654,423581,649073,7.5,19,744004,246966,497038,4.4,13.2,328650,5.8,26.4,23707,23798,107271,0
1984,70,1419544,1571736,20745349,20087856,233308,15.2,152214,9.9,4061188,1562373,2498815,7.8,20.2,2753540,965392,1788148,4.8,13.7,1307648,6.5,27.4,95495,95899,526910,0
1985,07,51409,52647,381356,365402,9897,19.5,5861,11.6,112125,43697,68428,12,30.7,79702,28486,51216,7.8,21.8,32423,8.9,43.6,3870,3870,18536,0
1985,10,26454,33076,860801,871155,4629,14,4391,13.3,148352,48485,99867,5.6,17,168521,57697,110824,6.6,19.3,-20169,-2.3,34,2750,2763,22669,0
1985,15,429834,435655,4438059,4255407,81786,19.3,56606,13.4,1395958,448013,947945,10.5,32.8,1031940,350560,681380,8.2,24.3,364018,8.5,48.6,37637,37646,218176,0
1985,20,286080,342964,19206107,19186676,38289,11.3,30872,9.1,2433365,691612,1741753,3.6,12.7,2390868,884768,1506100,4.6,12.5,42497,0.2,25,19843,19933,265672,0
1985,40,144783,194830,4914932,4868758,28588,14.9,21565,11.3,826541,279814,546727,5.7,17,734119,236174,497945,4.9,15.1,92422,1.9,30.2,13422,13662,104483,0
1985,50,322999,423226,5638940,5571676,48825,11.6,40592,9.7,1001604,351175,650429,6.3,18,866884,359280,507604,6.4,15.6,134720,2.4,31.2,23437,23583,146428,0
1985,52,928358,1301659,16768200,16424917,179043,13.8,169660,13.1,3434233,1605015,1829218,9.8,20.9,2748139,1295550,1452589,7.9,16.7,686094,4.2,33.4,106801,107875,630767,0
1985,60,331338,446422,6013877,5894926,58456,13.3,44057,10,1089632,387920,701712,6.6,18.5,850189,316977,533212,5.4,14.4,239443,4.1,28.8,26788,26938,144462,0
1985,70,1488843,1646505,22669957,22141026,225527,14,157872,9.8,4249096,1553421,2695675,7,19.2,3199251,1198846,2000405,5.4,14.4,1049845,4.8,28.8,102960,103412,661975,0
1986,07,54821,56016,411474,396419,10486,19.3,6725,12.4,118610,46821,71789,11.8,29.9,87153,33736,53417,8.5,22,31457,7.9,44,4389,4391,20668,0
1986,10,25446,31723,781244,821053,3882,12,5093,15.7,129381,50770,78611,6.2,15.8,208244,65619,142625,8,25.4,-78863,-9.6,31.6,3415,3416,27155,0
1986,15,448989,454623,4670464,4554293,84869,19.1,63389,14.2,1391162,479149,912013,10.5,30.5,1148812,380371,768441,8.4,25.2,242350,5.3,50.4,43315,43327,246092,0
1986,20,287536,344369,18991502,19099841,38693,11.3,36224,10.5,2425214,829376,1595838,4.3,12.7,2612138,934784,1677354,4.9,13.7,-186924,-1,25.4,24538,24639,352551,0
1986,40,148695,200622,5021511,4967985,30345,15.3,23745,12,833776,291843,541933,5.9,16.8,721721,227175,494546,4.6,14.5,112055,2.3,29,15060,15204,107344,0
1986,50,330735,431073,5799863,5717827,51850,12.1,42753,10,1059807,417565,642242,7.3,18.5,891276,335727,555549,5.9,15.6,168531,2.9,31.2,25339,25416,146557,0
1986,52,939182,1324726,17473255,17114286,194091,14.8,166815,12.7,3716658,1870501,1846157,10.9,21.7,2985980,1258046,1727934,7.4,17.4,730678,4.3,34.8,109152,109992,696274,0
1986,60,338668,457632,6339558,6168064,59365,13.1,46627,10.3,1219529,446573,772956,7.2,19.8,872231,336596,535635,5.5,14.1,347298,5.7,28.2,28873,28934,149236,0
1986,70,1545481,1709624,23980576,23326427,238086,14.2,167620,10,4591319,1813904,2777415,7.8,19.7,3284599,1160739,2123860,5,14.1,1306720,5.6,28.2,110212,110476,656512,0
1987,07,58981,60202,436465,424010,11546,19.9,6808,11.7,121050,48928,72122,11.5,28.5,94175,36805,57370,8.7,22.2,26875,6.3,44.4,4715,4720,23243,0
1987,10,22746,28487,661162,721060,3435,11.4,6271,20.8,108169,42502,65667,5.9,15,224222,88286,135936,12.2,31.1,-116053,-16.1,30,3959,3994,33243,0
1987,15,472051,478183,4793600,4732611,91225,19.6,62618,13.4,1381809,462339,919470,9.8,29.2,1237721,427053,810668,9,26.2,144088,3,52.4,45110,45166,267597,0
1987,20,289358,345793,18569523,18784785,39136,11.3,36011,10.4,2190959,635645,1555314,3.4,11.7,2570298,918718,1651580,4.9,13.7,-379339,-2,23.4,23427,23574,282156,0
1987,40,153001,209211,5107955,5065171,36311,17.7,26512,12.9,1016838,469110,547728,9.3,20.1,921313,362972,558341,7.2,18.2,95525,1.9,36.4,16597,16881,171499,0
1987,50,333815,437422,5812584,5809267,56868,13.1,49348,11.4,1087419,408335,679084,7,18.7,1067541,445201,622340,7.7,18.4,19878,0.3,36.8,27068,27468,170271,0
1987,52,946386,1358937,18132035,17845267,218777,16.3,181488,13.5,4022985,2056073,1966912,11.5,22.5,3405602,1544951,1860651,8.7,19.1,617383,3.4,38.2,114102,115957,755723,0
1987,60,346822,467986,6558559,6449159,65356,14.1,52476,11.3,1214105,451277,762828,7,18.8,983660,381082,602578,5.9,15.3,230445,3.5,30.6,32380,32577,167362,0
1987,70,1593414,1779214,25580994,25051741,260320,14.9,184489,10.6,4784332,1864696,2919636,7.4,19.1,3939696,1539843,2399853,6.1,15.7,844636,3.4,31.4,122270,123105,833606,0
1988,07,61516,62632,466861,450697,10746,17.5,7774,12.7,130818,50199,80619,11.1,29,95258,37707,57551,8.4,21.1,35560,7.9,42.2,5311,5311,25109,0
1988,10,22224,27632,651152,655886,3521,12.6,4284,15.3,129801,42841,86960,6.5,19.8,138720,55651,83069,8.5,21.2,-8919,-1.4,39.6,2603,2603,16287,0
1988,15,479067,485127,4886810,4836705,81707,17,70784,14.7,1314929,428485,886444,8.9,27.2,1206968,394560,812408,8.2,25,107961,2.2,50,52348,52348,275666,0
1988,20,293378,349823,19047117,18808107,38347,11,33537,9.6,2695854,850265,1845589,4.5,14.3,2171228,779877,1391351,4.1,11.5,524626,2.8,23,22864,22864,234550,0
1988,40,151343,207601,5258952,5149134,29626,14.3,27201,13.2,910490,324258,586232,6.3,17.7,678021,261652,416369,5.1,13.2,232469,4.5,26.4,17137,17140,119545,0
1988,50,336811,441286,5961669,5886903,48825,11.1,43896,10,1112171,375806,736365,6.4,18.9,953242,374462,578780,6.4,16.2,158929,2.7,32.4,26562,26564,153894,0
1988,52,940693,1364234,18531315,18328788,187901,13.8,178661,13.1,3866368,1812255,2054113,9.9,21.1,3428144,1466531,1961613,8,18.7,438224,2.4,37.4,115175,115179,692303,0
1988,60,346708,482909,6618505,6564353,70146,14.8,52052,11,1267314,558129,709185,8.5,19.3,1155002,408311,746691,6.2,17.6,112312,1.7,35.2,32123,32123,171661,0
1988,70,1602649,1799924,25992497,25380936,230271,12.9,194193,10.9,5117717,1877747,3239970,7.4,20.2,3861501,1471998,2389503,5.8,15.2,1256216,5,30.4,134008,134018,737248,0
1989,07,64129,65320,508844,487780,11093,17.3,8379,13.1,147260,53473,93787,11,30.2,105963,40753,65210,8.4,21.7,41297,8.5,43.4,5131,5139,23417,0
1989,10,21407,26890,634252,642308,3109,11.4,3872,14.2,116466,45916,70550,7.1,18.1,133123,54488,78635,8.5,20.7,-16657,-2.6,36.2,2517,2526,21343,0
1989,15,482541,488568,4976399,4931542,78802,16.2,74587,15.3,1322340,405189,917151,8.2,26.8,1229376,430106,799270,8.7,24.9,92964,1.9,49.8,49756,49781,272371,0
1989,20,293262,351591,19399707,19222541,37331,10.6,36353,10.4,2553309,766344,1786965,4,13.3,2236043,780190,1455853,4.1,11.6,317266,1.7,23.2,23838,24045,341160,0
1989,40,152617,212456,5414254,5335843,30487,14.5,25984,12.4,957286,330919,626367,6.2,17.9,813915,301518,512397,5.7,15.3,143371,2.6,30.6,16164,16375,128164,0
1989,50,338914,446813,6148106,6054076,49397,11.1,44371,10,1101132,385084,716048,6.4,18.2,926456,385448,541008,6.4,15.3,174676,2.9,30.6,25818,26065,165097,0
1989,52,931454,1374320,19258916,18892347,180522,13.2,173115,12.6,3908465,1883547,2024918,10,20.7,3263875,1330925,1932950,7,17.3,644590,3.4,34.6,109646,111711,725638,0
1989,60,347161,484684,6760577,6678344,60899,12.6,58728,12.1,1235614,489919,745695,7.3,18.5,1078940,421214,657726,6.3,16.2,156674,2.3,32.4,31308,31483,191884,0
1989,70,1616966,1829465,27318721,26637911,226913,12.5,197978,10.9,5239574,1893245,3346329,7.1,19.7,3920981,1540538,2380443,5.8,14.7,1318593,5,29.4,128608,129438,857167,0
1990,07,70083,71283,557296,530326,13322,19.5,6887,10.1,166595,71928,94667,13.6,31.4,110264,34167,76097,6.4,20.8,56331,10.6,41.6,4843,4856,23386,0
1990,10,21355,26779,646706,640338,3289,12.3,3278,12.2,114329,36081,78248,5.6,17.9,101328,38357,62971,6,15.8,13001,2.1,31.6,2163,2181,18300,0
1990,15,497610,503575,5133118,5054647,86220,17.4,65446,13.2,1383360,448699,934661,8.9,27.4,1198990,373871,825119,7.4,23.7,184370,3.7,47.4,48905,48936,282093,0
1990,20,298042,357313,19142592,19271990,38755,10.9,31401,8.9,2060413,632425,1427988,3.3,10.7,2317055,643621,1673434,3.3,12,-256642,-1.3,21.4,22812,22920,288791,0
1990,40,157115,217883,5564871,5490128,30514,14.2,23844,11.1,876969,286462,590507,5.2,16,724716,254607,470109,4.6,13.2,152253,2.8,26.4,15487,15604,115479,0
1990,50,346539,457595,6326031,6235167,51840,11.5,39095,8.6,1070397,386088,684309,6.2,17.2,882994,311463,571531,5,14.2,187403,3,28.4,24560,24731,154027,0
1990,52,938646,1391020,19638103,19445093,180170,13,157274,11.4,3619431,1707099,1912332,8.8,18.6,3210549,1249828,1960721,6.4,16.5,408882,2.1,33,104121,105280,710363,0
1990,60,354163,495794,6877047,6809948,61292,12.5,47526,9.7,1202440,474652,727788,7,17.7,1061296,367039,694257,5.4,15.6,141144,2.1,31.2,28743,28994,164690,0
1990,70,1666834,1890978,28698515,28016977,242004,13,168221,9,5174639,1835848,3338791,6.6,18.5,3770298,1318652,2451646,4.7,13.5,1404341,5,27,119911,120462,777540,0
1991,07,73351,74597,617398,586433,11285,15.5,7937,10.9,194377,59768,134609,10.2,33.1,134237,40389,93848,6.9,22.9,60140,10.2,45.8,4930,4933,25688,0
1991,10,21518,26932,647963,647222,3231,12,3181,11.8,108694,42480,66214,6.6,16.8,108724,39234,69490,6.1,16.8,-30,0,33.6,1967,1970,16877,0
1991,15,492021,498018,4593796,4863503,71723,14.3,75885,15.2,988343,329400,658943,6.8,20.3,1526535,420346,1106189,8.6,31.4,-538192,-11.1,40.6,50359,50400,284281,0
1991,20,298239,357772,18290437,18716319,34211,9.6,33802,9.5,1824339,574617,1249722,3.1,9.7,2640187,745023,1895164,4,14.1,-815848,-4.4,19.4,23274,23516,323274,0
1991,40,159381,226638,5584868,5565659,34936,15.7,26011,11.7,962249,411344,550905,7.4,17.3,929454,298990,630464,5.4,16.7,32795,0.6,33.4,15387,15822,130549,0
1991,50,352108,465152,6225093,6274462,50525,11,43037,9.3,951842,364805,587037,5.8,15.2,1051430,357582,693848,5.7,16.8,-99588,-1.6,30.4,25031,25362,167639,0
1991,52,943016,1398952,19408157,19518418,172034,12.3,164289,11.8,3319267,1627601,1691666,8.3,17,3549883,1311639,2238244,6.7,18.2,-230616,-1.2,34,100708,103798,723063,0
1991,60,353724,525779,6867923,6864756,83074,16.3,53093,10.4,1458300,810537,647763,11.8,21.2,1454131,478429,975702,7,21.2,4169,0,42.4,29809,30089,234808,0
1991,70,1711384,1948408,29207492,28938949,233793,12.2,176896,9.2,4832139,1800522,3031617,6.2,16.7,4340995,1475384,2865611,5.1,15,491144,1.7,30,116566,117678,868432,0
1992,07,75464,76765,600939,592108,11523,15.2,8339,11,161454,57573,103881,9.7,27.3,140534,62347,78187,10.5,23.7,20920,3.6,47.4,5512,5519,24436,0
1992,10,20603,25808,598937,623530,2749,10.4,3646,13.8,97034,36698,60336,5.9,15.6,143820,50359,93461,8.1,23.1,-46786,-7.5,31.2,2304,2325,19408,0
1992,15,487453,493493,4454507,4523864,75411,15.2,71940,14.5,1095397,322806,772591,7.1,24.2,1204580,349777,854803,7.7,26.6,-109183,-2.4,48.4,51075,51109,249281,0
1992,20,294986,353619,18039645,18165034,32247,9.1,34321,9.6,2007795,526415,1481380,2.9,11.1,2238530,672528,1566002,3.7,12.3,-230735,-1.2,22.2,24238,24417,283170,0
1992,40,160983,234115,5496887,5539884,36020,15.6,26757,11.6,883997,347209,536788,6.3,16,952343,295226,657117,5.3,17.2,-68346,-1.2,32,16394,16645,121421,0
1992,50,352859,465009,6149247,6192292,48966,10.5,47781,10.3,1040667,344677,695990,5.6,16.8,1113097,407857,705240,6.6,18,-72430,-1.2,33.6,27691,28796,169787,0
1992,52,936198,1395130,19340388,19391785,175859,12.6,176807,12.6,3393366,1591765,1801601,8.2,17.5,3449292,1349040,2100252,7,17.8,-55926,-0.3,35,107337,111655,703752,0
1992,60,355491,539011,6775669,6799725,68954,13,52583,9.9,1297287,506380,790907,7.4,19.1,1338300,445237,893063,6.5,19.7,-41013,-0.6,38.2,28570,29382,179549,0
1992,70,1736481,1993364,30270607,29756623,242815,12.3,191421,9.7,5528614,2010693,3517921,6.8,18.6,4445470,1621401,2824069,5.4,14.9,1083144,3.7,29.8,128800,130476,962078,0
1993,07,77115,78374,622930,604425,10743,13.9,8238,10.7,175487,51689,123798,8.6,29,137078,44811,92267,7.4,22.7,38409,6.3,45.4,5526,5528,26527,0
1993,10,19982,25118,551313,574942,2655,10.4,3238,12.7,89524,31591,57933,5.5,15.6,137049,50896,86153,8.9,23.8,-47525,-8.2,31.2,2077,2084,16788,0
1993,15,496514,502344,4486377,4470336,78289,15.7,66162,13.3,1142083,329380,812703,7.4,25.5,1099018,325943,773075,7.3,24.6,43065,0.9,49.2,48317,48336,240033,0
1993,20,297234,355334,18017789,18028718,33630,9.5,31222,8.8,1995810,494498,1501312,2.7,11.1,2042783,583442,1459341,3.2,11.3,-46973,-0.2,22.2,22557,22668,240318,0
1993,40,166403,239014,5570521,5533173,31671,13.4,26254,11.1,842462,260722,581740,4.7,15.2,773178,257909,515269,4.7,14,69284,1.2,28,15859,16050,102327,0
1993,50,356454,467339,6168895,6158365,45931,9.9,42322,9.1,963098,289995,673103,4.7,15.6,938475,316664,621811,5.1,15.2,24623,0.4,30.4,26893,27283,152765,0
1993,52,942202,1391455,19850506,19594872,158080,11.3,159676,11.5,3590151,1473545,2116606,7.5,18.3,3083739,1213104,1870635,6.2,15.7,506412,2.6,31.4,101223,103060,620324,0
