year2,sic1,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp,d_flag
1977,07,35947,36979,275556,252515,7304,19.8,7083,19.2,105845,60740,45105,24.1,41.9,62384,28458,33926,11.3,24.7,43461,17.2,49.4,4998,5008,19337,0
1977,10,19362,25447,800273,769659,4347,17.5,3193,12.8,184197,75432,108765,9.8,23.9,123781,50050,73731,6.5,16.1,60416,7.8,32.2,1953,1965,20262,0
1977,15,383333,388884,3398225,3302074,81815,21.7,56838,15.1,981031,365548,615483,11.1,29.7,782855,261511,521344,7.9,23.7,198176,6,47.4,38156,38184,174684,0
1977,20,259981,316744,19325997,18845736,38803,12.4,31189,10,2725325,779437,1945888,4.1,14.5,1780764,544584,1236180,2.9,9.4,944561,5.1,18.8,21340,21425,252348,0
1977,40,121029,163437,4303455,4106004,24749,15.5,17463,10.9,980611,257679,722932,6.3,23.9,588484,139644,448840,3.4,14.3,392127,9.6,28.6,12009,12071,74494,0
1977,50,275195,367725,4758376,4610909,55679,15.4,41891,11.6,1086267,465449,620818,10.1,23.6,797682,365486,432196,7.9,17.3,288585,6.3,34.6,22787,23018,163950,0
1977,52,939853,1240960,13583781,13183094,231935,19,189236,15.5,3498785,1911315,1587470,14.5,26.5,2709327,1321269,1388058,10,20.6,789458,5.9,41.2,129340,130482,794134,0
1977,60,297794,388370,4519413,4396790,49177,12.8,39291,10.2,797984,294423,503561,6.7,18.1,554775,190312,364463,4.3,12.6,243209,5.5,25.2,25916,26031,97953,0
1977,70,1118359,1225225,15129162,14506949,203933,17.1,139822,11.7,3561689,1650045,1911644,11.4,24.6,2310975,1008011,1302964,6.9,15.9,1250714,8.7,31.8,94711,95108,634695,0
1978,07,37028,38049,259216,267386,7303,19.5,6144,16.4,82665,31566,51099,11.8,30.9,98721,35982,62739,13.5,36.9,-16056,-6,61.8,3817,3827,15971,0
1978,10,19537,25646,785877,793075,4017,15.7,3655,14.3,167582,56094,111488,7.1,21.1,180703,63522,117181,8,22.8,-13121,-1.7,42.2,1994,2003,18682,0
1978,15,410026,415497,3861546,3629885,91967,22.9,64182,16,1273929,420868,853061,11.6,35.1,802377,323112,479265,8.9,22.1,471552,13,44.2,43413,43434,202331,0
1978,20,262299,318595,20091116,19708970,37093,11.7,34909,11,2754618,628350,2126268,3.2,14,1995375,762184,1233191,3.9,10.1,759243,3.9,20.2,22500,22572,277877,0
1978,40,123279,166667,4352520,4327920,23991,14.5,20385,12.4,806705,216539,590166,5,18.6,755084,179866,575218,4.2,17.4,51621,1.2,34.8,13260,13331,84470,0
1978,50,278459,372447,4981320,4869916,43608,11.8,38451,10.4,1044559,311658,732901,6.4,21.4,819526,351536,467990,7.2,16.8,225033,4.6,33.6,22194,22449,122737,0
1978,52,922985,1231043,14268375,13927298,186590,15.1,194169,15.7,3418458,1519987,1898471,10.9,24.5,2718558,1248211,1470347,9,19.5,699900,5,39,129528,130582,665519,0
1978,60,303081,396927,4771048,4640386,50460,12.9,41109,10.5,830581,253149,577432,5.5,17.9,565670,232656,333014,5,12.2,264911,5.7,24.4,27510,27587,108810,0
1978,70,1146137,1257872,16301778,15693886,181873,14.6,145968,11.8,3686176,1121324,2564852,7.1,23.5,2455098,1086577,1368521,6.9,15.6,1231078,7.9,31.2,96647,97101,638034,0
1979,07,39345,40332,272601,265909,7771,19.8,5327,13.6,85805,37586,48219,14.1,32.3,71673,26115,45558,9.8,27,14132,5.3,54,3182,3201,14288,0
1979,10,20998,27195,915193,850535,4255,16.1,2705,10.2,237486,63767,173719,7.5,27.9,110731,40786,69945,4.8,13,126755,14.9,26,1106,1112,9625,0
1979,15,434038,439490,4307275,4084735,88545,20.7,61822,14.5,1355505,433603,921902,10.6,33.2,905144,308663,596481,7.6,22.2,450361,11,44.4,40532,40550,181001,0
1979,20,269016,326004,20856254,20473615,38771,12,30418,9.4,2839108,728843,2110265,3.6,13.9,2063905,758322,1305583,3.7,10.1,775203,3.8,20.2,18714,18851,230715,0
1979,40,129400,172634,4618404,4485589,24747,14.6,18197,10.7,850575,200226,650349,4.5,19,581885,167361,414524,3.7,13,268690,6,26,11114,11214,68380,0
1979,50,288907,383904,5193124,5086651,45165,11.9,32823,8.7,983479,334250,649229,6.6,19.3,767470,283462,484008,5.6,15.1,216009,4.2,30.2,17224,17422,109215,0
1979,52,938115,1257659,15010551,14637601,190193,15.3,158971,12.8,3357314,1625124,1732190,11.1,22.9,2593227,1026461,1566766,7,17.7,764087,5.2,35.4,100224,100749,537309,0
1979,60,313050,414056,5090485,4930529,54412,13.4,36223,8.9,903136,313926,589210,6.4,18.3,580890,188280,392610,3.8,11.8,322246,6.5,23.6,22806,22879,80156,0
1979,70,1197582,1315136,17758182,17046552,187931,14.6,125414,9.7,3830539,1258634,2571905,7.4,22.5,2392642,839276,1553366,4.9,14,1437897,8.5,28,78646,79085,443388,0
1980,07,40007,41005,276830,274715,6949,17.1,5824,14.3,73093,29339,43754,10.7,26.6,67039,24652,42387,9,24.4,6054,2.2,48.8,4150,4151,16570,0
1980,10,21618,27880,945490,930342,4397,16,3387,12.3,186114,61709,124405,6.6,20,151633,49304,102329,5.3,16.3,34481,3.7,32.6,2319,2341,25283,0
1980,15,421312,426568,4169171,4237795,71784,16.6,77810,18,1076539,338950,737589,8,25.4,1178054,381838,796216,9,27.8,-101515,-2.4,50.8,58783,58797,271741,0
1980,20,270330,327572,20690727,20772800,35641,10.9,32505,9.9,2518417,700576,1817841,3.4,12.1,2636114,783890,1852224,3.8,12.7,-117697,-0.6,24.2,23190,23304,271935,0
1980,40,130158,174001,4669688,4645291,22301,12.9,19703,11.4,809504,176096,633408,3.8,17.4,753257,152434,600823,3.3,16.2,56247,1.2,32.4,14581,14665,82200,0
1980,50,292228,387777,5287508,5239123,41604,10.8,35667,9.2,892967,329078,563889,6.3,17,783477,283672,499805,5.4,15,109490,2,30,22174,22337,123691,0
1980,52,924440,1250901,14957741,14981233,169959,13.6,168753,13.5,2971240,1504299,1466941,10,19.8,2973696,1126076,1847620,7.5,19.8,-2456,0,39.6,118920,119842,671006,0
1980,60,313399,416927,5227424,5156368,47204,11.4,41967,10.1,798800,272849,525951,5.3,15.5,648571,228869,419702,4.4,12.6,150229,2.9,25.2,29200,29315,111293,0
1980,70,1224649,1345940,18531616,18160397,180260,13.6,138755,10.4,3395373,1157681,2237692,6.4,18.7,2599586,917741,1681845,5.1,14.3,795787,4.4,28.6,98535,98984,558126,0
1981,07,40478,41432,286816,281604,7143,17.3,6642,16.1,82830,35672,47158,12.7,29.4,73317,35928,37389,12.8,26,9513,3.4,52,4308,4316,21263,0
1981,10,24376,30694,1054126,999503,6345,21.7,3795,13,258334,88270,170064,8.8,25.8,156048,63715,92333,6.4,15.6,102286,10.2,31.2,2273,2278,27237,0
1981,15,395668,400818,3983867,4071659,59851,14.5,81135,19.6,1024999,374018,650981,9.2,25.2,1210067,418141,791926,10.3,29.7,-185068,-4.5,50.4,55891,55912,255931,0
1981,20,268500,325399,19987528,20332143,35504,10.9,37577,11.5,2414717,871161,1543556,4.3,11.9,3109672,1037175,2072497,5.1,15.3,-694955,-3.4,23.8,23086,23183,309062,0
1981,40,126636,170237,4721582,4667533,21704,12.7,22253,13,878860,192731,686129,4.1,18.8,777275,215252,562023,4.6,16.7,101585,2.1,33.4,14080,14173,85344,0
1981,50,295544,388657,5307198,5295309,45200,11.6,44953,11.6,946982,389838,557144,7.4,17.9,934443,383766,550677,7.2,17.6,12539,0.3,35.2,22281,22472,129481,0
1981,52,902144,1218367,14724577,14836687,166324,13.5,197738,16,2841774,1493321,1348453,10.1,19.2,3080875,1416278,1664597,9.5,20.8,-239101,-1.6,38.4,115240,116340,654053,0
1981,60,306776,411941,5383716,5289843,46282,11.2,48392,11.7,884548,354030,530518,6.7,16.7,697538,255161,442377,4.8,13.2,187010,3.5,26.4,29914,30008,106300,0
1981,70,1234991,1353381,18093295,17792061,189159,14.1,166764,12.4,3430352,1416311,2014041,8,19.3,2848038,1210280,1637758,6.8,16,582314,3.3,32,99170,99627,557225,0
1982,07,42044,43162,312478,299652,7796,18.4,5537,13.1,96112,43506,52606,14.5,32.1,69219,25922,43297,8.7,23.1,26893,9,46.2,3093,3093,13767,0
1982,10,27274,33922,1114543,1084371,7635,23.6,4051,12.5,286740,103051,183689,9.5,26.4,225558,78900,146658,7.3,20.8,61182,5.6,41.6,2303,2306,29153,0
1982,15,375298,381267,3740943,3846841,57904,14.8,69595,17.8,997491,371173,626318,9.6,25.9,1188456,349179,839277,9.1,30.9,-190965,-5,51.8,39549,39554,199159,0
1982,20,271757,330225,19102711,19544309,38098,11.6,31628,9.6,2155615,747642,1407973,3.8,11,3025614,733751,2291863,3.8,15.5,-869999,-4.5,22,17840,17899,223037,0
1982,40,130165,176514,4817025,4768792,26038,15,18417,10.6,709020,259902,449118,5.5,14.9,615883,158375,457508,3.3,12.9,93137,2,25.8,10751,10776,72554,0
1982,50,305495,406000,5374626,5342756,54377,13.7,36169,9.1,1035353,464889,570464,8.7,19.4,966134,339553,626581,6.4,18.1,69219,1.3,36.2,18429,18497,113653,0
1982,52,905572,1268213,15318916,15032816,209956,16.9,154209,12.4,3517805,2043951,1473854,13.6,23.4,2921873,1110336,1811537,7.4,19.4,595932,4,38.8,90963,91199,534630,0
1982,60,299227,405250,5422955,5401446,48210,11.8,45176,11.1,829072,324777,504295,6,15.3,772099,243684,528415,4.5,14.3,56973,1,28.6,24576,24651,101215,0
1982,70,1282196,1426100,19270243,18705751,230245,16.6,140453,10.1,4091659,1894679,2196980,10.1,21.9,2930556,1013686,1916870,5.4,15.7,1161103,6.2,31.4,82585,82708,503634,0
1983,07,44317,45484,312139,312283,7531,17,5487,12.4,80419,33473,46946,10.7,25.8,81150,29457,51693,9.4,26,-731,-0.2,51.6,3423,3425,16959,0
1983,10,26430,32948,896173,999163,4642,13.9,5721,17.1,146166,65352,80814,6.5,14.6,352646,84223,268423,8.4,35.3,-206480,-20.7,29.2,3854,3861,40428,0
1983,15,375327,381185,3572726,3654698,55770,14.6,58330,15.3,921658,276866,644792,7.6,25.2,1093040,309310,783730,8.5,29.9,-171382,-4.7,50.4,37506,37516,192502,0
1983,20,271514,328988,17975044,18537268,30980,9.4,33126,10.1,1984779,581490,1403289,3.1,10.7,3111804,759676,2352128,4.1,16.8,-1127025,-6.1,21.4,21461,21545,252600,0
1983,40,131970,176523,4603846,4710417,24472,13.9,25407,14.4,1145531,471787,673744,10,24.3,1359655,642453,717202,13.6,28.9,-214124,-4.6,48.6,13453,13535,86087,0
1983,50,308314,406962,5178934,5274669,41383,10.2,41359,10.2,843045,294980,548065,5.6,16,1037738,336980,700758,6.4,19.7,-194693,-3.7,32,23810,23998,130079,0
1983,52,914856,1278690,15184689,15252322,163339,12.8,160217,12.6,2987548,1404195,1583353,9.2,19.6,3138989,1198381,1940608,7.9,20.6,-151441,-1,39.2,102760,103851,598572,0
1983,60,308678,417354,5500771,5460594,47446,11.5,42466,10.3,909869,347760,562109,6.4,16.7,836404,308329,528075,5.6,15.3,73465,1.4,30.6,25131,25225,115276,0
1983,70,1341541,1488551,19497040,19388395,195177,13.4,147437,10.1,3457624,1256130,2201494,6.5,17.8,3263427,988198,2275229,5.1,16.8,194197,1,33.6,97560,97921,536182,0
1984,07,47606,48762,349893,331019,8754,18.6,5477,11.6,102702,39239,63463,11.9,31,65067,24338,40729,7.4,19.7,37635,11.3,39.4,3318,3322,14616,0
1984,10,26095,32829,881118,888629,4813,14.6,4900,14.9,169796,56847,112949,6.4,19.1,184580,62774,121806,7.1,20.8,-14784,-1.7,38.2,3156,3157,25171,0
1984,15,403359,409173,4068013,3820264,77484,19.6,50922,12.9,1327068,400127,926941,10.5,34.7,836507,261113,575394,6.8,21.9,490561,12.8,43.8,32052,32068,169103,0
