year2,fsize,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,d_flag,firmdeath_firms,firmdeath_estabs,firmdeath_emp,sic1
1979,i) 1000 to 2499,3102,72591,4529540,4482145,7006,9.8,4152,5.8,665384,184443,480941,4.1,14.8,570136,150365,419771,3.4,12.7,95248,2.1,25.4,0,8,18,25986,
1979,j) 2500 to 4999,1113,53687,3400579,3333370,5292,10.1,3121,5.9,543694,140648,403046,4.2,16.3,407924,122963,284961,3.7,12.2,135770,4.1,24.4,1,2,2,,
1979,k) 5000 to 9999,690,59097,3857045,3772399,6538,11.3,3898,6.7,602054,176213,425841,4.7,16,431785,109924,321861,2.9,11.4,170269,4.6,22.8,0,,,,
1979,l) 10000+,756,236782,18888676,18476021,21605,9.3,14340,6.1,2617045,709136,1907909,3.8,14.2,1789688,460614,1329074,2.5,9.7,827357,4.5,19.4,0,,,,
1980,a) 1 to 4,1997968,2002972,4476042,4491540,434501,21.7,397875,19.9,1588853,1136729,452124,25.3,35.4,1547826,999923,547903,22.3,34.5,41027,0.9,69,0,318651,318926,811763,
1980,b) 5 to 9,762686,778775,5026187,5077563,51011,6.6,46108,5.9,1208268,581991,626277,11.5,23.8,1270601,517114,753487,10.2,25,-62333,-1.2,47.6,0,34044,34393,414715,
1980,c) 10 to 19,438718,473229,5945870,5993437,20609,4.3,20821,4.4,1159320,438752,720568,7.3,19.3,1225243,424830,800413,7.1,20.4,-65923,-1.1,38.6,0,12554,12885,322301,
1980,d) 20 to 49,264541,328426,8035857,8063920,12967,3.9,12947,3.9,1384150,425937,958213,5.3,17.2,1419255,424955,994300,5.3,17.6,-35105,-0.4,34.4,0,5059,5547,289960,
1980,e) 50 to 99,81265,137603,5629474,5629320,7107,5.2,6445,4.7,892928,225993,666935,4,15.9,881946,246491,635455,4.4,15.7,10982,0.2,31.4,0,988,1214,130298,
1980,f) 100 to 249,41190,117893,6292860,6233923,8009,6.8,6342,5.4,992475,245350,747125,3.9,15.9,866842,237727,629115,3.8,13.9,125633,2,27.8,0,316,566,92512,
1980,g) 250 to 499,11703,66976,4035346,3987063,5600,8.4,4256,6.4,629592,158505,471087,4,15.8,531654,148750,382904,3.7,13.3,97938,2.5,26.6,0,49,168,34632,
1980,h) 500 to 999,5231,56541,3575227,3526978,4669,8.3,3646,6.5,526134,133804,392330,3.8,14.9,429617,119395,310222,3.4,12.2,96517,2.7,24.4,0,15,31,21038,
1980,i) 1000 to 2499,3206,72037,4703537,4608491,6873,9.7,4352,6.1,686222,177300,508922,3.8,14.9,494338,137845,356493,3,10.7,191884,4.2,21.4,0,5,6,14626,
1980,j) 2500 to 4999,1156,58262,3489899,3446989,5634,9.8,3808,6.6,507595,160348,347247,4.7,14.7,422418,114416,308002,3.3,12.3,85177,2.4,24.6,0,,,,
1980,k) 5000 to 9999,689,58203,3905396,3836941,4811,8.4,2913,5.1,545716,156003,389713,4.1,14.2,408848,98538,310310,2.6,10.7,136868,3.5,21.4,0,,,,
1980,l) 10000+,811,247661,19640589,19501983,18310,7.4,14860,6,2600825,729894,1870931,3.7,13.3,2292862,478505,1814357,2.5,11.8,307963,1.5,23.6,0,,,,
1981,a) 1 to 4,1989721,1993023,4508049,4519825,420171,20.9,437645,21.8,1582091,1119022,463069,24.8,35,1603130,1102771,500359,24.4,35.5,-21039,-0.5,70,0,315075,315316,791205,
1981,b) 5 to 9,753199,765884,5042745,5038828,51762,6.7,56922,7.4,1239528,596190,643338,11.8,24.6,1254736,596102,658634,11.8,24.9,-15208,-0.3,49.2,0,31872,32233,388465,
1981,c) 10 to 19,430795,458466,5913281,5928257,22060,4.8,31925,6.9,1202572,489459,713113,8.3,20.3,1256053,548956,707097,9.3,21.2,-53481,-0.9,40.6,0,12344,12658,317778,
1981,d) 20 to 49,256638,308273,7833587,7856431,12655,4,22869,7.3,1411027,523282,887745,6.7,18,1479334,591610,887724,7.5,18.8,-68307,-0.8,36,0,5194,5708,296175,
1981,e) 50 to 99,76777,129707,5351804,5341669,8889,6.9,8507,6.6,924107,337218,586889,6.3,17.3,912459,326075,586384,6.1,17.1,11648,0.2,34.2,0,1043,1455,142024,
1981,f) 100 to 249,38471,115584,5842567,5829719,10113,8.8,9121,7.9,994458,366869,627589,6.3,17.1,977548,363658,613890,6.2,16.8,16910,0.3,33.6,0,379,571,109245,
1981,g) 250 to 499,10944,66180,3741107,3739109,6550,10,5073,7.8,598401,212145,386256,5.7,16,593980,200394,393586,5.4,15.9,4421,0.1,31.8,0,68,120,46287,
1981,h) 500 to 999,5189,56507,3488461,3472621,5460,9.8,4020,7.2,526501,184799,341702,5.3,15.2,493267,165488,327779,4.8,14.2,33234,1,28.4,0,20,231,27979,
1981,i) 1000 to 2499,3285,70986,4695390,4661028,6869,9.8,5154,7.3,662320,250105,412215,5.4,14.2,592617,172143,420474,3.7,12.7,69703,1.5,25.4,0,3,3,11137,
1981,j) 2500 to 4999,1224,61698,3573193,3578635,5879,9.6,5154,8.4,481820,168769,313051,4.7,13.5,490244,144754,345490,4,13.7,-8424,-0.2,27,1,1,12,,
1981,k) 5000 to 9999,725,61358,3746445,3751806,5726,9.5,4151,6.9,527348,170371,356977,4.5,14.1,538891,162472,376419,4.3,14.4,-11543,-0.3,28.2,1,1,2,,
1981,l) 10000+,882,253274,19806239,19848542,21386,8.5,18709,7.4,2613335,797214,1816121,4,13.2,2695052,661283,2033769,3.3,13.6,-81717,-0.4,26.4,0,,,,
1982,a) 1 to 4,2005071,2013160,4622201,4521757,470348,23.6,386903,19.4,1761714,1246382,515332,27.6,39,1484137,971942,512195,21.5,32.8,277577,6.2,65.6,0,247055,247065,633893,
1982,b) 5 to 9,777313,797845,5161180,5114396,65286,8.3,40275,5.1,1319821,669666,650155,13.1,25.8,1215121,481524,733597,9.4,23.8,104700,2,47.6,0,26439,26455,323304,
1982,c) 10 to 19,439413,477747,5970614,5937819,34501,7.4,17162,3.7,1281705,599071,682634,10.1,21.6,1210092,413355,796737,7,20.4,71613,1.2,40.8,0,10437,10506,269485,
1982,d) 20 to 49,260912,328893,7932928,7883843,26763,8.3,10164,3.2,1549443,696338,853105,8.8,19.7,1448292,450628,997664,5.7,18.4,101151,1.3,36.8,0,4749,5021,274629,
1982,e) 50 to 99,78050,135809,5356944,5320546,11868,8.9,5523,4.2,974372,403948,570424,7.6,18.3,900845,249411,651434,4.7,16.9,73527,1.4,33.8,0,951,1110,127209,
1982,f) 100 to 249,39477,121846,5904577,5865651,11350,9.5,6021,5.1,1039712,414784,624928,7.1,17.7,959542,246811,712731,4.2,16.4,80170,1.3,32.8,0,343,441,98246,
1982,g) 250 to 499,11420,69110,3818435,3783898,7041,10.5,3523,5.2,638857,224315,414542,5.9,16.9,568361,127145,441216,3.4,15,70496,1.9,30,0,42,59,27748,
1982,h) 500 to 999,5359,59294,3533413,3475413,6209,10.7,3157,5.5,556730,208580,348150,6,16,444173,102907,341266,3,12.8,112557,3.2,25.6,0,10,12,14979,
1982,i) 1000 to 2499,3504,76691,4881251,4836540,7296,9.6,5563,7.3,682537,241123,441414,5,14.1,591081,151485,439596,3.1,12.2,91456,1.9,24.4,0,7,14,21309,
1982,j) 2500 to 4999,1307,59335,3698381,3671121,5479,9.4,3275,5.6,542243,199160,343083,5.4,14.8,494240,117795,376445,3.2,13.5,48003,1.3,27,0,,,,
1982,k) 5000 to 9999,780,63892,3827886,3785045,5770,9.1,4400,7,590710,241654,349056,6.4,15.6,503324,130504,372820,3.4,13.3,87386,2.3,26.6,0,,,,
1982,l) 10000+,960,267037,19766678,19830826,28348,10.8,19277,7.3,2781024,1108549,1672475,5.6,14,2896328,610005,2286323,3.1,14.6,-115304,-0.6,28,0,,,,
1983,a) 1 to 4,2070559,2076131,4683756,4589679,426714,21,379528,18.6,1599375,1108558,490817,24.2,34.8,1461078,974007,487071,21.2,31.8,138297,3,63.6,0,280275,280484,744526,
1983,b) 5 to 9,784393,804640,5193370,5175982,44071,5.5,41968,5.2,1170484,511259,659225,9.9,22.6,1141445,478305,663140,9.2,22.1,29039,0.5,44.2,0,30493,30773,371552,
1983,c) 10 to 19,437950,479838,5938373,5954325,18267,3.8,19171,4,1110021,407695,702326,6.8,18.6,1144428,405135,739293,6.8,19.2,-34407,-0.6,37.2,0,11765,12058,303235,
1983,d) 20 to 49,257910,329350,7795762,7834290,10681,3.2,11813,3.6,1292750,400762,891988,5.1,16.5,1371593,418774,952819,5.3,17.5,-78843,-1,33,0,4940,5371,282940,
1983,e) 50 to 99,77404,139621,5293179,5330387,7766,5.6,7620,5.5,849493,230619,618874,4.3,15.9,923518,248292,675226,4.7,17.3,-74025,-1.4,31.8,0,983,1375,130690,
1983,f) 100 to 249,38906,123610,5769318,5815755,9563,7.8,8138,6.6,929301,259767,669534,4.5,16,1023328,259814,763514,4.5,17.6,-94027,-1.6,32,0,331,705,96542,
1983,g) 250 to 499,11392,71397,3788231,3816320,6266,8.9,4937,7,610115,179827,430288,4.7,16,667443,143595,523848,3.8,17.5,-57328,-1.5,32,0,34,102,23140,
1983,h) 500 to 999,5410,60219,3486572,3526335,5197,8.7,4457,7.4,506745,141774,364971,4,14.4,585016,135113,449903,3.8,16.6,-78271,-2.2,28.8,0,8,8,11596,
1983,i) 1000 to 2499,3522,75292,4744133,4792271,6661,8.9,6277,8.4,611223,182043,429180,3.8,12.8,708101,172983,535118,3.6,14.8,-96878,-2,25.6,1,1,1,,
1983,j) 2500 to 4999,1337,60848,3637799,3690511,5095,8.4,4276,7.1,508990,190938,318052,5.2,13.8,614920,129217,485703,3.5,16.7,-105930,-2.9,27.6,0,,,,
1983,k) 5000 to 9999,844,66845,3919227,3989027,5174,7.7,5336,8,562528,164361,398167,4.1,14.1,701729,132292,569437,3.3,17.6,-139201,-3.5,28.2,0,,,,
1983,l) 10000+,1069,268907,18471833,19075053,25295,9.4,26030,9.7,2725762,954575,1771187,5,14.3,3932269,1159490,2772779,6.1,20.6,-1206507,-6.3,28.6,0,,,,
1984,a) 1 to 4,2152269,2158080,4978900,4723478,502468,24,378899,18.1,1881234,1308637,572597,27.7,39.8,1381331,939597,441734,19.9,29.2,499903,10.6,58.4,0,267383,267611,682597,
1984,b) 5 to 9,818101,838109,5582486,5369277,52532,6.3,40460,4.9,1442366,608493,833873,11.3,26.9,1016949,449989,566960,8.4,18.9,425417,8,37.8,0,26699,26950,325182,
1984,c) 10 to 19,454960,495348,6400521,6159883,21863,4.4,18506,3.7,1434786,486866,947920,7.9,23.3,953398,374869,578529,6.1,15.5,481388,7.8,31,0,10172,10396,262150,
1984,d) 20 to 49,267851,337614,8477467,8117456,13725,4.1,11322,3.4,1781501,516988,1264513,6.4,21.9,1061435,371143,690292,4.6,13.1,720066,8.8,26.2,0,4142,4489,237136,
1984,e) 50 to 99,80811,142676,5801307,5549951,8546,6,6800,4.8,1171213,301542,869671,5.4,21.1,667997,211172,456825,3.8,12,503216,9.1,24,0,772,1040,103498,
1984,f) 100 to 249,40844,126789,6360490,6100422,9782,7.8,6872,5.5,1254289,337866,916423,5.5,20.6,733713,208267,525446,3.4,12,520576,8.6,24,0,250,422,72568,
1984,g) 250 to 499,11563,72009,4047808,3907436,6133,8.6,4417,6.2,748149,199282,548867,5.1,19.1,467997,119500,348497,3.1,12,280152,7.1,24,0,32,107,21750,
1984,h) 500 to 999,5521,64039,3772224,3660053,5516,8.7,3802,6,653396,180522,472874,4.9,17.9,429140,109724,319416,3,11.7,224256,6.2,23.4,0,12,77,16642,
1984,i) 1000 to 2499,3570,78067,5045736,4928433,7115,9.2,5068,6.6,771002,212834,558168,4.3,15.6,536754,145275,391479,2.9,10.9,234248,4.7,21.8,0,5,5,14843,
1984,j) 2500 to 4999,1332,59614,3779329,3682219,4999,8.5,3734,6.3,617289,220550,396739,6,16.8,423136,115732,307404,3.1,11.5,194153,5.3,23,1,1,1,,
1984,k) 5000 to 9999,830,69795,4034542,3967688,6289,9.2,4038,5.9,617870,183795,434075,4.6,15.6,484279,127680,356599,3.2,12.2,133591,3.4,24.4,1,1,1,,
1984,l) 10000+,954,280574,19107594,18842731,27855,10.1,20347,7.4,2769825,1001467,1768358,5.3,14.7,2269644,650371,1619273,3.5,12,500181,2.7,24,0,,,,
1985,a) 1 to 4,2204179,2210266,5080690,4875076,509173,23.7,390488,18.2,1891280,1317773,573507,27,38.8,1478868,988369,490499,20.3,30.3,412412,8.5,60.6,0,285830,286114,743113,
1985,b) 5 to 9,854118,874372,5763953,5633206,54069,6.2,45448,5.2,1436017,622754,813263,11.1,25.5,1173834,515626,658208,9.2,20.8,262183,4.7,41.6,0,31276,31701,381225,
1985,c) 10 to 19,476784,516399,6622993,6496038,23180,4.5,21168,4.1,1407846,494617,913229,7.6,21.7,1152475,464865,687610,7.2,17.7,255371,4,35.4,0,12650,13007,327487,
1985,d) 20 to 49,284266,354082,8872953,8708358,15476,4.4,13206,3.7,1713548,513655,1199893,5.9,19.7,1384994,528380,856614,6.1,15.9,328554,3.8,31.8,0,5812,6175,334412,
1985,e) 50 to 99,87845,148061,6217897,6107017,6431,4.3,6088,4.1,1090067,268501,821566,4.4,17.8,869269,310614,558655,5.1,14.2,220798,3.6,28.4,0,1237,1535,165820,
1985,f) 100 to 249,45044,132280,6962591,6813263,7298,5.6,5466,4.2,1165761,282579,883182,4.1,17.1,869633,282120,587513,4.1,12.8,296128,4.3,25.6,0,435,784,126308,
1985,g) 250 to 499,12978,74563,4494947,4389292,6651,9,5101,6.9,785832,209332,576500,4.8,17.9,575269,174852,400417,4,13.1,210563,4.8,26.2,0,66,95,45192,
1985,h) 500 to 999,5826,64959,3939124,3870096,6338,9.9,4012,6.3,654113,192296,461817,5,16.9,516617,157986,358631,4.1,13.3,137496,3.6,26.6,0,26,129,34714,
1985,i) 1000 to 2499,3744,81408,5321131,5241126,7973,9.9,5991,7.5,782369,233055,549314,4.4,14.9,623448,192957,430491,3.7,11.9,158921,3,23.8,0,9,131,24901,
1985,j) 2500 to 4999,1337,60593,3766325,3745863,5900,9.9,4058,6.8,562970,166908,396062,4.5,15,522271,180287,341984,4.8,13.9,40699,1.1,27.8,1,2,9,,
1985,k) 5000 to 9999,827,74363,4051040,4073158,5987,8.1,4992,6.8,505705,163631,342074,4,12.4,550516,150924,399592,3.7,13.5,-44811,-1.1,24.8,1,1,2,,
1985,l) 10000+,1015,285716,19800112,19629143,26596,9.3,25480,8.9,2695968,944477,1751491,4.8,13.7,2353318,781615,1571703,4,12,342650,1.7,24,0,,,,
1986,a) 1 to 4,2248997,2255382,5191686,5021408,523657,23.7,416283,18.8,1944625,1372713,571912,27.3,38.7,1571413,1059708,511705,21.1,31.3,373212,7.4,62.6,0,308346,308381,808115,
1986,b) 5 to 9,881466,901694,5960698,5822744,59332,6.6,46795,5.2,1512484,690200,822284,11.9,26,1225448,539739,685709,9.3,21,287036,5,42,0,34367,34407,418745,
1986,c) 10 to 19,495485,534934,6902305,6743768,26357,5,20733,3.9,1514476,588510,925966,8.7,22.5,1190675,461057,729618,6.8,17.7,323801,4.8,35.4,0,13451,13497,347906,
1986,d) 20 to 49,296881,365201,9296049,9070191,16434,4.5,12684,3.5,1876129,657020,1219109,7.2,20.7,1417784,495346,922438,5.5,15.6,458345,5.1,31.2,0,6038,6560,349932,
1986,e) 50 to 99,92182,153010,6529274,6390386,11645,7.7,9075,6,1290479,428286,862193,6.7,20.2,1005892,332552,673340,5.2,15.7,284587,4.5,31.4,0,1333,1770,178169,
1986,f) 100 to 249,46922,134660,7205733,7101581,12439,9.4,8938,6.7,1374700,438724,935976,6.2,19.4,1156522,385904,770618,5.4,16.3,218178,3.1,32.6,0,555,783,163914,
1986,g) 250 to 499,13232,75952,4500143,4452798,7454,10,4951,6.6,764786,238865,525921,5.4,17.2,664521,184798,479723,4.2,14.9,100265,2.3,29.8,0,77,232,51591,
1986,h) 500 to 999,6066,67343,4029958,3998335,6875,10.4,4273,6.5,643170,219284,423886,5.5,16.1,578520,162765,415755,4.1,14.5,64650,1.6,29,0,33,159,41872,
1986,i) 1000 to 2499,3886,84937,5377364,5333596,9044,10.9,5230,6.3,769297,256612,512685,4.8,14.4,679834,162783,517051,3.1,12.7,89463,1.7,25.4,0,5,5,13989,
1986,j) 2500 to 4999,1468,62905,3920160,3895216,6190,10,4265,6.9,590243,211378,378865,5.4,15.2,548865,142886,405979,3.7,14.1,41378,1.1,28.2,0,,,,
1986,k) 5000 to 9999,930,79178,4309155,4203977,6715,8.5,5918,7.5,660589,244976,415613,5.8,15.7,463259,149368,313891,3.6,11,197330,4.7,22,0,,,,
1986,l) 10000+,1081,295266,20248026,20133335,25556,8.7,19890,6.8,2545171,900519,1644652,4.5,12.6,2310187,656567,1653620,3.3,11.5,234984,1.1,23,1,1,1,,
1987,a) 1 to 4,2303913,2310680,5298601,5137071,551060,24.4,421089,18.6,2003677,1418697,584980,27.6,39,1617049,1088663,528386,21.2,31.5,386628,7.5,63,0,325884,326744,860819,
1987,b) 5 to 9,905849,926367,6101739,5993600,68276,7.4,55993,6.1,1571726,719970,851756,12,26.2,1327541,600864,726677,10,22.1,244185,4.1,44.2,0,38022,38818,465436,
1987,c) 10 to 19,511906,551469,7052054,6953031,34667,6.3,30715,5.6,1588982,629425,959557,9.1,22.9,1369492,565716,803776,8.1,19.7,219490,3.2,39.4,0,15868,16554,412202,
1987,d) 20 to 49,306209,381546,9442143,9325366,28308,7.5,22321,5.9,1977794,720484,1257310,7.7,21.2,1735055,647123,1087932,6.9,18.6,242739,2.6,37.2,0,7298,7990,421823,
1987,e) 50 to 99,96128,161987,6696572,6596908,13879,8.7,9070,5.7,1295966,426404,869562,6.5,19.6,1102491,376638,725853,5.7,16.7,193475,2.9,33.4,0,1575,1866,209282,
1987,f) 100 to 249,49411,142503,7549439,7394954,14307,10.3,8601,6.2,1420297,468922,951375,6.3,19.2,1176499,385890,790609,5.2,15.9,243798,3.3,31.8,0,583,903,168007,
1987,g) 250 to 499,14185,81707,4810545,4669743,8976,11.2,6040,7.5,848380,260548,587832,5.6,18.2,669948,209406,460542,4.5,14.3,178432,3.9,28.6,0,73,231,50416,
1987,h) 500 to 999,6451,69273,4127724,4082400,6770,9.9,4644,6.8,655025,196304,458721,4.8,16,558322,175798,382524,4.3,13.7,96703,2.3,27.4,0,29,149,39318,
1987,i) 1000 to 2499,4203,83419,5729119,5712833,7934,9.6,6318,7.7,727150,219499,507651,3.8,12.7,715945,220539,495406,3.9,12.5,11205,0.2,25,0,11,51,29108,
1987,j) 2500 to 4999,1662,71944,4179113,4176459,7533,10.6,5181,7.3,575983,172376,403607,4.1,13.8,565196,187513,377683,4.5,13.5,10787,0.3,27,1,1,1,,
1987,k) 5000 to 9999,1042,84260,4471941,4530281,10399,12.6,6961,8.4,598950,205645,393305,4.5,13.2,710259,260938,449321,5.8,15.7,-111309,-2.5,26.4,0,4,133,41722,
1987,l) 10000+,1125,300300,20194105,20311602,30870,10.3,29147,9.7,2663822,1000686,1663136,4.9,13.1,2898409,1027766,1870643,5.1,14.3,-234587,-1.2,26.2,0,1,2,0,
1988,a) 1 to 4,2280084,2285552,5252555,5160508,488372,21.5,449261,19.8,1872942,1283537,589405,24.9,36.3,1661493,1110194,551299,21.5,32.2,211449,4.1,64.4,0,350745,350746,885998,
1988,b) 5 to 9,916628,936838,6154816,6063901,54731,5.9,48718,5.2,1477997,628875,849122,10.4,24.4,1293425,554561,738864,9.1,21.3,184572,3.1,42.6,0,35926,35926,436707,
1988,c) 10 to 19,520288,564636,7195467,7083200,24578,4.4,22501,4,1488073,525013,963060,7.4,21,1265332,482040,783292,6.8,17.9,222741,3.1,35.8,0,14018,14018,361202,
1988,d) 20 to 49,309674,390621,9607700,9446779,17085,4.4,14644,3.8,1816589,574248,1242341,6.1,19.2,1500189,512500,987689,5.4,15.9,316400,3.3,31.8,0,5808,5812,331786,
1988,e) 50 to 99,95804,166468,6759569,6635135,11664,7.1,8463,5.1,1268845,382256,886589,5.8,19.1,1023952,317925,706027,4.8,15.4,244893,3.7,30.8,0,1098,1108,147389,
1988,f) 100 to 249,49176,148966,7582073,7419252,14462,9.9,9209,6.3,1492059,511155,980904,6.9,20.1,1164797,376604,788193,5.1,15.7,327262,4.4,31.4,0,458,458,136240,
1988,g) 250 to 499,13750,83837,4720090,4611169,8706,10.5,6085,7.4,899640,298751,600889,6.5,19.5,672292,187754,484538,4.1,14.6,227348,4.9,29.2,0,49,49,33610,
1988,h) 500 to 999,6701,74736,4499691,4394410,9018,12.3,5481,7.5,805559,265670,539889,6,18.3,579194,166414,412780,3.8,13.2,226365,5.1,26.4,0,18,22,23653,
1988,i) 1000 to 2499,4347,89172,6129165,5991006,9576,10.9,6629,7.5,973295,320428,652867,5.3,16.2,675196,211187,464009,3.5,11.3,298099,4.9,22.6,0,7,7,18693,
