year2,fsize,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,d_flag,firmdeath_firms,firmdeath_estabs,firmdeath_emp,sic1
1977,a) 1 to 4,2024202,2031989,4491449,4359564,480211,24.1,391695,19.6,1696527,1192853,503674,27.4,38.9,1405657,958079,447578,22,32.2,290870,6.7,64.4,0,296852,297319,750892,
1977,b) 5 to 9,686095,708922,4663313,4553654,67332,9.6,45322,6.5,1250392,627262,623130,13.8,27.5,1024242,510823,513419,11.2,22.5,226150,5,45,0,31824,32378,391447,
1977,c) 10 to 19,381168,418898,5342432,5223475,40573,9.9,23781,5.8,1261871,579469,682402,11.1,24.2,1018165,488425,529740,9.4,19.5,243706,4.7,39,0,13830,14288,360837,
1977,d) 20 to 49,220470,281991,6900839,6751758,29488,10.7,15545,5.7,1511718,638146,873572,9.5,22.4,1206783,542090,664693,8,17.9,304935,4.5,35.8,0,6577,7021,379401,
1977,e) 50 to 99,67177,117373,4751138,4634437,13374,11.8,6244,5.5,959394,382789,576605,8.3,20.7,726928,294115,432813,6.3,15.7,232466,5,31.4,0,1391,1595,186838,
1977,f) 100 to 249,33369,99892,5151711,5027742,12538,13,5781,6,1007246,403017,604229,8,20,762826,293296,469530,5.8,15.2,244420,4.8,30.4,0,539,673,158716,
1977,g) 250 to 499,9354,57341,3219822,3089080,7238,13.1,3389,6.1,607045,236970,370075,7.7,19.7,349541,78226,271315,2.5,11.3,257504,8.4,22.6,1,1,3,,
1977,h) 500 to 999,4696,50027,3183784,3069974,5083,10.3,3807,7.7,559334,192586,366748,6.3,18.2,338435,85425,253010,2.8,11,220899,7.2,22,1,2,15,,
1977,i) 1000 to 2499,2881,66962,4189941,4052207,8084,12.4,4699,7.2,704710,237618,467092,5.9,17.4,434836,102842,331994,2.5,10.7,269874,6.7,21.4,0,,,,
1977,j) 2500 to 4999,1149,58005,3373308,3235628,5996,10.6,3722,6.6,613446,183116,430330,5.7,19,345159,80680,264479,2.5,10.7,268287,8.3,21.4,0,,,,
1977,k) 5000 to 9999,685,48574,3786892,3556954,5001,10.5,3473,7.3,857683,265164,592519,7.5,24.1,420516,80967,339549,2.3,11.8,437167,12.3,23.6,0,,,,
1977,l) 10000+,727,213797,17039609,16419273,22824,10.8,18550,8.8,2892367,921078,1971289,5.6,17.6,1677967,394386,1283581,2.4,10.2,1214400,7.4,20.4,0,,,,
1978,a) 1 to 4,1998093,2001858,4607930,4404590,479591,24.2,426031,21.5,1856389,1227364,629025,27.9,42.1,1430427,1058252,372175,24,32.5,425962,9.6,65,0,314555,314822,787070,
1978,b) 5 to 9,709996,726283,4952509,4713780,51841,7.2,43586,6,1432386,603299,829087,12.8,30.4,945426,497401,448025,10.6,20.1,486960,10.3,40.2,0,29405,29864,357764,
1978,c) 10 to 19,399731,438038,5721971,5466821,20746,4.7,19163,4.4,1386583,450584,935999,8.2,25.4,866534,405912,460622,7.4,15.9,520049,9.5,31.8,0,10749,11150,276889,
1978,d) 20 to 49,235714,303097,7531719,7199197,11576,3.8,11714,3.9,1639500,419167,1220333,5.8,22.8,965172,421089,544083,5.8,13.4,674328,9.4,26.8,0,4490,5000,257459,
1978,e) 50 to 99,72181,128432,5211622,5004252,7877,6.2,7004,5.5,1055684,228315,827369,4.6,21.1,636440,265575,370865,5.3,12.7,419244,8.4,25.4,0,957,1270,128347,
1978,f) 100 to 249,36253,109112,5681642,5475760,9908,9.2,7038,6.5,1130640,261024,869616,4.8,20.6,716058,285291,430767,5.2,13.1,414582,7.5,26.2,0,393,579,115109,
1978,g) 250 to 499,9960,61071,3520091,3395714,6068,10.1,4376,7.3,700260,172612,527648,5.1,20.6,450894,166957,283937,4.9,13.3,249366,7.3,26.6,0,60,111,42478,
1978,h) 500 to 999,4879,54349,3427985,3318205,5358,10,3455,6.5,650285,153316,496969,4.6,19.6,429775,166290,263485,5,13,220510,6.6,26,0,35,67,50023,
1978,i) 1000 to 2499,2980,67518,4418741,4297176,6017,9,4887,7.3,784898,177795,607103,4.1,18.3,541935,194880,347055,4.5,12.6,242963,5.7,25.2,0,13,18,43554,
1978,j) 2500 to 4999,1107,58141,3417132,3361577,5115,8.9,3879,6.7,592198,162753,429445,4.8,17.6,480230,146009,334221,4.3,14.3,111968,3.3,28.6,1,2,2,,
1978,k) 5000 to 9999,677,50543,3512953,3583364,4335,8.7,2925,5.9,506356,124570,381786,3.5,14.1,647041,142858,504183,4,18.1,-140685,-4,28.2,1,1,1,,
1978,l) 10000+,722,224302,17668502,17638286,18471,8.3,14914,6.7,2330095,578737,1751358,3.3,13.2,2281180,533132,1748048,3,12.9,48915,0.3,25.8,1,2,2,,
1979,a) 1 to 4,2007935,2012641,4625688,4415138,474302,24.2,357769,18.2,1811781,1256076,555705,28.4,41,1361777,895109,466668,20.3,30.8,450004,10.2,61.6,0,255159,255315,641613,
1979,b) 5 to 9,759379,775545,5211354,4992278,58610,7.7,38695,5.1,1472794,675245,797549,13.5,29.5,1026096,429205,596891,8.6,20.6,446698,8.9,41.2,0,24636,24868,298832,
1979,c) 10 to 19,432997,468988,6097160,5864509,23559,5.1,17478,3.8,1419910,503917,915993,8.6,24.2,950647,343078,607569,5.9,16.2,469263,8,32.4,0,8696,8928,222877,
1979,d) 20 to 49,258717,325011,8139938,7845569,14572,4.5,11658,3.6,1692894,469031,1223863,6,21.6,1101385,369511,731874,4.7,14,591509,7.6,28,0,3623,4063,208132,
1979,e) 50 to 99,79266,136705,5669419,5485712,9283,6.9,6780,5,1107786,257789,849997,4.7,20.2,738785,256982,481803,4.7,13.5,369001,6.7,27,0,890,1083,119167,
1979,f) 100 to 249,39804,115150,6246206,6005797,9661,8.5,6454,5.7,1246380,291827,954553,4.9,20.8,763577,245602,517975,4.1,12.7,482803,8.1,25.4,0,291,500,82951,
1979,g) 250 to 499,10881,64206,3794551,3687599,5761,9.1,4144,6.5,686058,167483,518575,4.5,18.6,471062,139454,331608,3.8,12.8,214996,5.8,25.6,0,45,136,30134,
1979,h) 500 to 999,5190,56011,3561960,3501203,5605,10.2,3412,6.2,577213,164198,413015,4.7,16.5,454706,115920,338786,3.3,13,122507,3.5,26,0,19,150,26835,
