year2,sic1,fsize,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,d_flag,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1977,07,a) 1 to 4,24094,24118,53284,,6522,26.9,6432,26.6,,15319,,,,,,,,,,,,1,4640,4642,
1977,07,b) 5 to 9,7345,7409,48501,47679,448,6.1,394,5.3,12645,4991,7654,10.5,26.5,11172,4296,6876,9,23.4,1473,3.1,46.8,0,257,262,3030
1977,07,c) 10 to 19,2918,3039,38687,37817,158,5.3,124,4.1,8987,3151,5836,8.3,23.8,7574,2413,5161,6.4,20,1413,3.8,40,0,65,68,1655
1977,07,d) 20 to 49,1064,1222,30237,29316,73,6,61,5,8253,2704,5549,9.2,28.2,6829,2309,4520,7.9,23.3,1424,4.9,46.6,0,26,26,1449
1977,07,e) 50 to 99,231,286,14106,13710,34,12.2,22,7.9,4954,1560,3394,11.4,36.1,4220,1501,2719,10.9,30.8,734,5.3,61.6,0,8,8,1060
1977,07,f) 100 to 249,141,263,16343,15766,27,10.6,14,5.5,4023,1294,2729,8.2,25.5,3370,962,2408,6.1,21.4,653,4.1,42.8,1,2,2,
1977,07,g) 250 to 499,45,87,7539,6809,3,3.4,7,7.9,2593,,,,38.1,1164,346,818,5.1,17.1,1429,21,34.2,1,,,
1977,07,h) 500 to 999,30,167,6931,6069,10,6.1,11,6.7,2302,,,,37.9,2121,112,2009,1.8,34.9,181,3,69.8,1,,,
1977,07,i) 1000 to 2499,23,83,3979,4256,5,6.1,3,3.7,710,,,,16.7,1264,,1193,,29.7,-554,-13,33.4,1,,,
1977,07,j) 2500 to 4999,16,29,,5390,3,10.9,3,10.9,6857,,,,127.2,321,176,145,3.3,6,6536,121.2,12,1,,,
1977,07,k) 5000 to 9999,11,111,,,5,4.6,0,0,,,,,,,,,,,,,,1,,,
1977,07,l) 10000+,32,165,40020,25407,16,9.8,12,7.4,31392,,,,123.6,2165,722,1443,2.8,8.5,29227,115.1,17,1,,,
1977,10,a) 1 to 4,8874,8908,20586,19635,2367,27.3,1801,20.8,9141,6801,2340,34.6,46.6,7097,4964,2133,25.3,36.1,2044,10.5,72.2,0,1370,1372,3982
1977,10,b) 5 to 9,3675,3746,26903,26053,515,13.9,433,11.7,10118,5951,4167,22.8,38.8,8325,5075,3250,19.5,32,1793,6.8,64,0,342,348,4292
1977,10,c) 10 to 19,2931,3049,42589,41204,274,9.1,212,7,12525,5610,6915,13.6,30.4,9646,4813,4833,11.7,23.4,2879,7,46.8,0,148,148,3859
1977,10,d) 20 to 49,2104,2451,64616,62924,209,8.6,155,6.4,15946,5944,10002,9.4,25.3,12558,5816,6742,9.2,20,3388,5.3,40,0,73,77,4279
1977,10,e) 50 to 99,783,1124,48474,46915,93,8.4,71,6.4,12027,3454,8573,7.4,25.6,8951,3772,5179,8,19.1,3076,6.5,38.2,0,16,16,2402
1977,10,f) 100 to 249,436,948,49453,47236,128,14,60,6.6,12239,5315,6924,11.3,25.9,7859,3545,4314,7.5,16.6,4380,9.3,33.2,0,4,4,1448
1977,10,g) 250 to 499,170,536,32721,32140,83,16,50,9.7,6747,2157,4590,6.7,21,5691,1223,4468,3.8,17.7,1056,3.3,35.4,0,,,
1977,10,h) 500 to 999,101,427,26321,24793,66,16,36,8.7,7208,3235,3973,13,29.1,4151,1681,2470,6.8,16.7,3057,12.4,33.4,0,,,
1977,10,i) 1000 to 2499,127,603,57262,52798,129,23,46,8.2,13934,4403,9531,8.3,26.4,5023,823,4200,1.6,9.5,8911,16.9,19,0,,,
1977,10,j) 2500 to 4999,56,469,49434,47465,67,14.3,66,14.1,12284,5614,6670,11.8,25.9,8774,4808,3966,10.1,18.5,3510,7.4,37,0,,,
1977,10,k) 5000 to 9999,60,678,62291,61307,91,14,39,6,9327,4773,4554,7.8,15.2,7312,2944,4368,4.8,11.9,2015,3.3,23.8,0,,,
1977,10,l) 10000+,119,2508,319623,307191,325,13.3,224,9.2,62701,22175,40526,7.2,20.4,38394,10586,27808,3.4,12.5,24307,7.9,25,0,,,
1977,15,a) 1 to 4,241127,241158,554532,519402,73508,31.8,50456,21.9,262671,182770,79901,35.2,50.6,187396,121136,66260,23.3,36.1,75275,14.5,72.2,0,33771,33773,87396
1977,15,b) 5 to 9,75993,76067,517613,497821,5348,7.1,3820,5.1,162024,62807,99217,12.6,32.5,121280,44527,76753,8.9,24.4,40744,8.1,48.8,0,3117,3123,37061
1977,15,c) 10 to 19,38809,38983,535523,519068,1461,3.8,1178,3,139075,34455,104620,6.6,26.8,105995,27533,78462,5.3,20.4,33080,6.4,40.8,0,904,908,22714
1977,15,d) 20 to 49,19535,20011,583438,573266,545,2.7,558,2.8,139473,22336,117137,3.9,24.3,119109,23107,96002,4,20.8,20364,3.5,41.6,0,301,309,16638
1977,15,e) 50 to 99,4856,5376,317219,313227,199,3.7,199,3.7,73676,12349,61327,3.9,23.5,65705,10970,54735,3.5,21,7971,2.5,42,0,46,53,6238
1977,15,f) 100 to 249,2130,2896,278663,274520,191,6.6,171,5.9,64870,12441,52429,4.5,23.6,57515,9727,47788,3.5,21,7355,2.6,42,0,17,18,4637
1977,15,g) 250 to 499,517,1021,127855,128137,101,9.9,107,10.4,26486,6688,19798,5.2,20.7,26999,4846,22153,3.8,21.1,-513,-0.4,41.4,0,,,
1977,15,h) 500 to 999,231,646,96112,93226,68,10.2,84,12.6,25733,7672,18061,8.2,27.6,19351,4296,15055,4.6,20.8,6382,6.8,41.6,0,,,
1977,15,i) 1000 to 2499,160,645,106815,107174,61,9.5,58,9,25657,4327,21330,4,23.9,26326,2456,23870,2.3,24.6,-669,-0.7,47.8,0,,,
1977,15,j) 2500 to 4999,66,416,56914,53831,97,25,46,11.8,15422,6326,9096,11.8,28.6,9357,1376,7981,2.6,17.4,6065,11.2,34.8,0,,,
1977,15,k) 5000 to 9999,64,472,69540,69968,38,8,47,9.9,14814,3373,11441,4.8,21.2,15689,3525,12164,5,22.4,-875,-1.2,42.4,0,,,
1977,15,l) 10000+,121,1193,154001,152436,198,17.3,114,9.9,31130,10004,21126,6.6,20.4,28133,8012,20121,5.3,18.5,2997,1.9,37,0,,,
1977,20,a) 1 to 4,86672,86705,220324,209370,24920,29.6,19458,23.1,101141,73279,27862,35,48.3,77754,55046,22708,26.3,37.1,23387,11.2,74.2,0,15261,15263,45212
1977,20,b) 5 to 9,52285,52430,372825,360688,4489,8.6,3707,7.1,110144,53048,57096,14.7,30.5,85775,45512,40263,12.6,23.8,24369,6.7,47.6,0,3072,3084,38529
1977,20,c) 10 to 19,46402,46825,665177,647366,2383,5.1,2151,4.6,151522,54306,97216,8.4,23.4,115355,53296,62059,8.2,17.8,36167,5.6,35.6,0,1686,1697,44529
1977,20,d) 20 to 49,40648,42330,1281353,1254207,1785,4.2,1591,3.8,243991,70220,173771,5.6,19.5,188890,76326,112564,6.1,15.1,55101,4.4,30.2,0,963,985,56361
1977,20,e) 50 to 99,16789,19268,1150492,1118698,1003,5.2,699,3.7,201742,57036,144706,5.1,18,137449,50852,86597,4.5,12.3,64293,5.7,24.6,0,249,267,33068
1977,20,f) 100 to 249,10276,15149,1483957,1453381,930,6.2,660,4.4,237603,72162,165441,5,16.3,176537,64662,111875,4.4,12.1,61066,4.2,24.2,1,107,116,
1977,20,g) 250 to 499,3541,7917,1068982,1038285,463,5.9,352,4.5,154539,42574,111965,4.1,14.9,93559,20685,72874,2,9,60980,5.9,18,0,,,
1977,20,h) 500 to 999,1911,6694,1084091,1055456,409,6.1,405,6.1,153925,42007,111918,4,14.6,100537,27710,72827,2.6,9.5,53388,5.1,19,1,2,13,
1977,20,i) 1000 to 2499,1186,7181,1364546,1340451,431,6,421,5.9,170442,44715,125727,3.3,12.7,124699,31625,93074,2.4,9.3,45743,3.4,18.6,0,,,
1977,20,j) 2500 to 4999,589,5848,1210321,1178607,380,6.5,327,5.6,162179,43154,119025,3.7,13.8,99830,21640,78190,1.8,8.5,62349,5.3,17,0,,,
1977,20,k) 5000 to 9999,377,5948,1438878,1397792,382,6.5,348,5.9,202396,51064,151332,3.7,14.5,121627,23538,98089,1.7,8.7,80769,5.8,17.4,0,,,
1977,20,l) 10000+,469,20449,7985052,7791437,1228,6,1070,5.3,835701,175872,659829,2.3,10.7,458752,73692,385060,0.9,5.9,376949,4.8,11.8,0,,,
1977,40,a) 1 to 4,65123,65199,143821,137729,17490,27.6,13210,20.9,58597,40586,18011,29.5,42.5,45460,30828,14632,22.4,33,13137,9.5,66,0,10213,10218,24954
1977,40,b) 5 to 9,23693,24052,163588,159029,1871,7.9,1416,5.9,44463,19602,24861,12.3,28,35169,16797,18372,10.6,22.1,9294,5.9,44.2,0,1134,1145,13975
1977,40,c) 10 to 19,16059,16646,221821,217298,728,4.4,606,3.7,44947,13836,31111,6.4,20.7,35885,13220,22665,6.1,16.5,9062,4.2,33,0,412,432,10677
1977,40,d) 20 to 49,9885,11160,295271,290500,462,4.1,453,4.1,50489,12032,38457,4.1,17.4,40889,13572,27317,4.7,14.1,9600,3.3,28.2,0,175,193,9693
1977,40,e) 50 to 99,3018,4411,198426,194479,470,11,200,4.7,35400,11205,24195,5.8,18.2,27802,10310,17492,5.3,14.3,7598,3.9,28.6,0,45,51,6383
1977,40,f) 100 to 249,1675,4279,221106,214533,651,16,215,5.3,48429,21786,26643,10.2,22.6,35403,14341,21062,6.7,16.5,13026,6.1,33,0,30,32,8812
1977,40,g) 250 to 499,592,3254,151234,141186,560,18.4,135,4.4,36077,19942,16135,14.1,25.6,16099,2539,13560,1.8,11.4,19978,14.2,22.8,0,,,
1977,40,h) 500 to 999,395,3480,160341,153508,403,11.9,240,7.1,39382,16877,22505,11,25.7,25810,5523,20287,3.6,16.8,13572,8.9,33.6,0,,,
1977,40,i) 1000 to 2499,328,4227,252085,246519,683,17.2,200,5,51414,21297,30117,8.6,20.9,40381,8742,31639,3.5,16.4,11033,4.5,32.8,0,,,
1977,40,j) 2500 to 4999,182,4005,324409,303784,457,11.9,158,4.1,72637,22568,50069,7.4,23.9,32825,4410,28415,1.5,10.8,39812,13.1,21.6,0,,,
1977,40,k) 5000 to 9999,127,3145,374005,340049,217,7,120,3.9,105908,7673,98235,2.3,31.1,37995,2411,35584,0.7,11.2,67913,19.9,22.4,0,,,
1977,40,l) 10000+,224,19579,1797349,1707392,757,3.9,510,2.6,392868,50275,342593,2.9,23,214767,16951,197816,1,12.6,178101,10.4,25.2,0,,,
1977,50,a) 1 to 4,125014,126186,296395,282773,32675,26.8,23442,19.2,116103,84190,31913,29.8,41.1,87655,61289,26366,21.7,31,28448,10.1,62,0,18268,18317,49041
1977,50,b) 5 to 9,64276,67217,437174,427689,6638,10.1,4138,6.3,104971,51694,53277,12.1,24.5,85317,44845,40472,10.5,19.9,19654,4.6,39.8,0,2650,2714,32664
1977,50,c) 10 to 19,46329,51933,624890,614062,4702,9.2,2555,5,120009,50600,69409,8.2,19.5,98139,47534,50605,7.7,16,21870,3.5,32,0,1200,1261,30856
1977,50,d) 20 to 49,26647,36546,754934,743335,3137,8.8,1755,4.9,134948,49638,85310,6.7,18.2,111840,48659,63181,6.5,15,23108,3.2,30,0,536,564,30346
1977,50,e) 50 to 99,7285,14259,415851,407747,1352,9.7,722,5.2,75514,29855,45659,7.3,18.5,59774,24523,35251,6,14.7,15740,3.8,29.4,0,106,117,13205
