year2,sic1,fsize,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,d_flag,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1977,50,f) 100 to 249,3863,11231,367914,358622,972,8.8,681,6.2,67899,23563,44336,6.6,18.9,49878,19274,30604,5.4,13.9,18021,5,27.8,0,27,45,7838
1977,50,g) 250 to 499,1528,6344,215025,206969,674,10.9,432,7,42044,15860,26184,7.7,20.3,27011,7721,19290,3.7,13.1,15033,7.2,26.2,0,,,
1977,50,h) 500 to 999,960,5523,159252,155119,562,10.4,400,7.4,29490,8749,20741,5.6,19,22011,6616,15395,4.3,14.2,7479,4.8,28.4,0,,,
1977,50,i) 1000 to 2499,807,7154,207987,197814,802,11.3,667,9.4,48393,22632,25761,11.4,24.5,28124,11162,16962,5.6,14.2,20269,10.3,28.4,0,,,
1977,50,j) 2500 to 4999,443,5800,158379,151965,608,10.6,552,9.6,35744,14643,21101,9.6,23.5,23938,8874,15064,5.8,15.8,11806,7.7,31.6,0,,,
1977,50,k) 5000 to 9999,313,6284,187363,169126,582,9.3,661,10.6,66938,13766,53172,8.1,39.6,31034,9996,21038,5.9,18.3,35904,21.3,36.6,0,,,
1977,50,l) 10000+,457,29248,933212,895691,2975,9.7,5886,19.2,244214,100259,143955,11.2,27.3,172961,74993,97968,8.4,19.3,71253,8,38.6,0,,,
1977,52,a) 1 to 4,533231,536053,1253196,1250138,138977,26,133898,25,501485,373548,127937,29.9,40.1,487502,354638,132864,28.4,39,13983,1.1,78,1,107850,108115,
1977,52,b) 5 to 9,212173,221786,1451878,1431447,27023,12.4,19279,8.8,415608,251343,164265,17.6,29,371743,212815,158928,14.9,26,43865,3,52,0,13093,13378,161393
1977,52,c) 10 to 19,113606,130229,1594383,1565746,17662,14,10324,8.2,418432,253765,164667,16.2,26.7,358331,201800,156531,12.9,22.9,60101,3.8,45.8,0,5692,5923,148289
1977,52,d) 20 to 49,60191,84802,1835362,1798335,11728,14.3,6156,7.5,436661,247645,189016,13.8,24.3,360272,185336,174936,10.3,20,76389,4.3,40,0,2288,2508,125918
1977,52,e) 50 to 99,14750,33801,974268,948983,5145,15.9,2271,7,211756,111570,100186,11.8,22.3,161693,70838,90855,7.5,17,50063,5.3,34,0,324,433,42085
1977,52,f) 100 to 249,5289,30205,699985,680729,4960,17.2,2202,7.6,169599,93927,75672,13.8,24.9,131976,53826,78150,7.9,19.4,37623,5.5,38.8,0,91,120,25682
1977,52,g) 250 to 499,1416,19140,378433,357736,2811,15.3,1389,7.6,95995,49751,46244,13.9,26.8,54858,17408,37450,4.9,15.3,41137,11.5,30.6,1,1,3,
1977,52,h) 500 to 999,725,17135,336454,322543,1978,11.8,1351,8,76973,32252,44721,10,23.9,49371,17539,31832,5.4,15.3,27602,8.6,30.6,1,1,2,
1977,52,i) 1000 to 2499,546,25352,498258,466976,3767,15.5,1784,7.3,135733,50525,85208,10.8,29.1,73212,24072,49140,5.2,15.7,62521,13.4,31.4,0,,,
1977,52,j) 2500 to 4999,308,24090,536151,505171,2556,10.9,1310,5.6,130879,45829,85050,9.1,25.9,69948,16777,53171,3.3,13.8,60931,12.1,27.6,0,,,
1977,52,k) 5000 to 9999,199,17978,534963,475271,2237,12.8,1447,8.3,171773,64455,107318,13.6,36.1,71526,18044,53482,3.8,15,100247,21.1,30,0,,,
1977,52,l) 10000+,316,100389,3490450,3380021,13091,13.5,7825,8,733891,336705,397186,10,21.7,518895,148176,370719,4.4,15.4,214996,6.3,30.8,0,,,
1977,60,a) 1 to 4,213541,213641,395617,386593,37283,17.6,31486,14.9,110749,71347,39402,18.5,28.6,90934,58278,32656,15.1,23.5,19815,5.1,47,0,24173,24178,46307
1977,60,b) 5 to 9,41541,41805,271557,266139,1649,4,1359,3.3,53224,18291,34933,6.9,20,42142,15203,26939,5.7,15.8,11082,4.2,31.6,0,1041,1055,12514
1977,60,c) 10 to 19,20571,21251,280557,274314,735,3.5,772,3.6,49067,13687,35380,5,17.9,36224,13956,22268,5.1,13.2,12843,4.7,26.4,0,411,436,10536
1977,60,d) 20 to 49,12757,15934,385727,374503,896,5.7,596,3.8,66045,17251,48794,4.6,17.6,43253,16654,26599,4.4,11.5,22792,6.1,23,0,202,230,11900
1977,60,e) 50 to 99,4319,9426,278673,273059,765,8.3,377,4.1,43798,12184,31614,4.5,16,33146,11699,21447,4.3,12.1,10652,3.9,24.2,0,57,73,7619
1977,60,f) 100 to 249,2629,11780,344343,332793,1534,13.7,436,3.9,64356,26193,38163,7.9,19.3,41811,17429,24382,5.2,12.6,22545,6.7,25.2,0,32,59,9077
1977,60,g) 250 to 499,970,8167,235045,225052,986,12.6,324,4.1,40515,14095,26420,6.3,18,20794,5757,15037,2.6,9.2,19721,8.8,18.4,0,,,
1977,60,h) 500 to 999,557,7524,245971,241026,589,7.7,792,10.4,36872,10079,26793,4.2,15.3,27307,7428,19879,3.1,11.3,9565,4,22.6,0,,,
1977,60,i) 1000 to 2499,453,12814,435091,423374,865,6.8,593,4.7,65624,18922,46702,4.5,15.5,42299,7486,34813,1.8,10,23325,5.5,20,0,,,
1977,60,j) 2500 to 4999,238,10596,348534,341193,867,8.4,494,4.8,47666,10592,37074,3.1,14,34752,5428,29324,1.6,10.2,12914,3.8,20.4,0,,,
1977,60,k) 5000 to 9999,148,8324,390159,372078,788,9.7,350,4.3,72875,31334,41541,8.4,19.6,36727,6079,30648,1.6,9.9,36148,9.7,19.8,0,,,
1977,60,l) 10000+,248,27108,908139,886669,2220,8.3,1712,6.4,147193,50448,96745,5.7,16.6,105386,24915,80471,2.8,11.9,41807,4.7,23.8,0,,,
1977,70,a) 1 to 4,727143,730021,1553694,,146469,20.5,111511,15.6,,345013,,,,,,,,,,,,1,81349,81441,192310
1977,70,b) 5 to 9,206933,214410,1373274,1337111,19351,9.2,10776,5.1,337195,159535,177660,11.9,25.2,263319,121753,141566,9.1,19.7,73876,5.5,39.4,0,7166,7269,87989
1977,70,c) 10 to 19,96899,106943,1338805,1306589,12470,12,5858,5.7,317307,150059,167248,11.5,24.3,250991,123835,127156,9.5,19.2,66316,5.1,38.4,0,3354,3415,87722
1977,70,d) 20 to 49,53211,67535,1669901,1625374,10653,16.6,4220,6.6,415912,210376,205536,12.9,25.6,323143,170311,152832,10.5,19.9,92769,5.7,39.8,0,2051,2129,122817
1977,70,e) 50 to 99,19351,29422,1353629,1317621,4313,15.4,1683,6,300527,143576,156951,10.9,22.8,228188,109650,118538,8.3,17.3,72339,5.5,34.6,0,556,577,74778
1977,70,f) 100 to 249,11622,23141,1689947,1650163,3145,14.2,1342,6,338228,146336,191892,8.9,20.5,258477,109530,148947,6.6,15.7,79751,4.8,31.4,0,235,277,69079
1977,70,g) 250 to 499,3310,10875,1002988,952767,1557,15,593,5.7,202049,,,,21.2,103366,17701,85665,1.9,10.8,98683,10.4,21.6,1,,,
1977,70,h) 500 to 999,1834,8431,1068311,1018236,998,12.2,488,6,187449,,,,18.4,87776,14520,73256,1.4,8.6,99673,9.8,17.2,1,,,
1977,70,i) 1000 to 2499,1171,8903,1263918,1212845,1341,15.4,927,10.7,192803,,,,15.9,93508,,77103,,7.7,99295,8.2,15.4,1,,,
1977,70,j) 2500 to 4999,435,6752,,648224,961,14.5,766,11.5,129779,,,,20,65414,17191,48223,2.7,10.1,64365,9.9,20.2,1,,,
1977,70,k) 5000 to 9999,268,5634,,,661,12,461,8.3,,,,,,,,,,,,,,1,,,
1977,70,l) 10000+,373,13158,1411764,1273031,2014,15.8,1197,9.4,413278,,,,32.5,138516,36339,102177,2.9,10.9,274762,21.6,21.8,1,,,
1978,07,a) 1 to 4,24303,24314,,,6441,27,5374,22.6,,15332,,,,,,,,,,,,1,3499,3500,8674
1978,07,b) 5 to 9,7797,7840,53718,50688,496,6.4,389,5,16374,5755,10619,11.4,32.3,10280,4069,6211,8,20.3,6094,12,40.6,0,211,212,2452
1978,07,c) 10 to 19,3212,3298,43573,42139,118,3.5,177,5.3,11322,2692,8630,6.4,26.9,8474,3376,5098,8,20.1,2848,6.8,40.2,0,73,78,1825
1978,07,d) 20 to 49,1146,1300,33710,32001,65,5,79,6,10888,2500,8388,7.8,34,7390,2693,4697,8.4,23.1,3498,10.9,46.2,0,26,27,1594
1978,07,e) 50 to 99,249,307,14853,14381,25,8,35,11.2,5049,1196,3853,8.3,35.1,4105,1484,2621,10.3,28.5,944,6.6,57,0,5,7,623
1978,07,f) 100 to 249,154,257,17928,17342,15,5.8,20,7.7,5450,1253,4197,7.2,31.4,4277,1685,2592,9.7,24.7,1173,6.7,49.4,0,3,3,803
1978,07,g) 250 to 499,55,106,8484,8360,11,10.5,9,8.6,1997,595,1402,7.1,23.9,1748,128,1620,1.5,20.9,249,3,41.8,0,,,
1978,07,h) 500 to 999,28,127,4970,6037,22,18.3,8,6.7,1869,673,1196,11.1,31,4003,,2548,,66.3,-2134,-35.3,62,1,,,
1978,07,i) 1000 to 2499,23,195,4975,4828,78,46.8,21,12.6,1164,,,,24.1,869,681,188,14.1,18,295,6.1,36,1,,,
1978,07,j) 2500 to 4999,17,27,2226,5375,5,17.5,8,28.1,570,350,220,6.5,10.6,6868,,107,,127.8,-6298,-117.2,21.2,1,,,
1978,07,k) 5000 to 9999,10,104,,,1,0.9,7,6.5,,,,,,,,,,,,,,1,,,
1978,07,l) 10000+,34,174,10296,24941,26,15.3,17,10,1991,336,1655,1.3,8,31281,318,30963,1.3,125.4,-29290,-117.4,16,0,,,
1978,10,a) 1 to 4,8719,8731,20548,19807,2454,28.4,2116,24.5,9602,7061,2541,35.6,48.5,7804,5940,1864,30,39.4,1798,9.1,78.8,1,1475,1475,
1978,10,b) 5 to 9,3773,3833,27665,26830,488,12.8,422,11.1,10816,6063,4753,22.6,40.3,8975,5133,3842,19.1,33.5,1841,6.8,67,0,295,298,3728
1978,10,c) 10 to 19,3033,3156,43673,43049,223,7.1,229,7.2,13797,5655,8142,13.1,32,12411,5238,7173,12.2,28.8,1386,3.2,57.6,0,136,141,3530
1978,10,d) 20 to 49,2136,2426,67260,65502,100,4.1,156,6.4,18487,4903,13584,7.5,28.2,14725,6252,8473,9.5,22.5,3762,5.7,45,0,68,68,3677
1978,10,e) 50 to 99,802,1176,49041,47805,83,7.1,74,6.3,12768,2748,10020,5.7,26.7,10148,3359,6789,7,21.2,2620,5.5,42.4,0,12,13,1572
1978,10,f) 100 to 249,467,1010,54676,53434,90,8.8,108,10.6,14170,2756,11414,5.2,26.5,11686,5601,6085,10.5,21.9,2484,4.6,43.8,0,7,7,1850
1978,10,g) 250 to 499,164,486,30415,29050,49,10.1,47,9.7,8335,2168,6167,7.5,28.7,5604,1416,4188,4.9,19.3,2731,9.4,38.6,1,1,1,
1978,10,h) 500 to 999,102,461,28571,27881,91,20.2,71,15.7,9179,3899,5280,14,32.9,7798,2767,5031,9.9,28,1381,4.9,56,0,,,
1978,10,i) 1000 to 2499,123,633,45749,49419,82,13,78,12.4,11686,5593,6093,11.3,23.6,19026,5629,13397,11.4,38.5,-7340,-14.9,47.2,0,,,
1978,10,j) 2500 to 4999,56,377,39553,43323,42,10.9,61,15.8,6550,1917,4633,4.4,15.1,14090,4712,9378,10.9,32.5,-7540,-17.4,30.2,0,,,
1978,10,k) 5000 to 9999,64,714,65313,65913,68,9.5,68,9.5,9612,2130,7482,3.2,14.6,10811,2820,7991,4.3,16.4,-1199,-1.8,29.2,0,,,
1978,10,l) 10000+,119,2643,313413,321064,247,9.4,225,8.5,42581,11201,31380,3.5,13.3,57625,14655,42970,4.6,17.9,-15044,-4.6,26.6,0,,,
1978,15,a) 1 to 4,251495,251508,606616,554543,81519,34,56570,23.6,310481,211240,99241,38.1,56,203407,142690,60717,25.7,36.7,107074,19.3,73.4,0,38596,38597,100289
1978,15,b) 5 to 9,84501,84560,604389,556145,7415,8.9,4725,5.7,225458,87828,137630,15.8,40.5,127651,56313,71338,10.1,23,97807,17.5,46,0,3423,3427,41002
1978,15,c) 10 to 19,43465,43633,627538,584827,1842,4.2,1436,3.3,194663,45599,149064,7.8,33.3,107902,35391,72511,6.1,18.5,86761,14.8,37,0,992,994,24964
1978,15,d) 20 to 49,21721,22186,681013,639492,502,2.3,596,2.7,192421,26615,165806,4.2,30.1,108618,29699,78919,4.6,17,83803,13.1,34,0,321,332,17855
1978,15,e) 50 to 99,5369,5940,369372,351313,135,2.3,221,3.7,96948,6954,89994,2,27.6,59774,14356,45418,4.1,17,37174,10.6,34,0,60,62,7922
1978,15,f) 100 to 249,2313,3184,316868,303409,193,6.1,199,6.2,84232,9127,75105,3,27.8,57136,13331,43805,4.4,18.8,27096,9,37.6,0,16,17,5008
1978,15,g) 250 to 499,543,1049,147363,140977,74,7,83,7.9,40595,6084,34511,4.3,28.8,27832,5167,22665,3.7,19.7,12763,9.1,39.4,1,1,1,
1978,15,h) 500 to 999,244,701,96092,95930,53,7.5,75,10.7,24838,4931,19907,5.1,25.9,23854,6417,17437,6.7,24.9,984,1,49.8,1,3,3,
1978,15,i) 1000 to 2499,159,645,115694,109749,73,11.4,67,10.4,37476,4581,32895,4.2,34.1,25585,4362,21223,4,23.3,11891,10.8,46.6,1,1,1,
1978,15,j) 2500 to 4999,67,415,65793,63282,43,10.1,68,15.9,19814,7649,12165,12.1,31.3,14791,5990,8801,9.5,23.4,5023,7.9,46.8,0,,,
1978,15,k) 5000 to 9999,59,408,73162,72248,41,10,45,11,17179,4204,12975,5.8,23.8,15351,2643,12708,3.7,21.2,1828,2.6,42.4,0,,,
1978,15,l) 10000+,120,1268,157646,157972,77,6,97,7.6,29825,6056,23769,3.8,18.9,30476,6753,23723,4.3,19.3,-651,-0.4,37.8,0,,,
1978,20,a) 1 to 4,83709,83722,219986,208221,24604,29.9,21518,26.2,105706,73853,31853,35.5,50.8,81550,62918,18632,30.2,39.2,24156,11.6,78.4,1,16385,16385,
1978,20,b) 5 to 9,53157,53232,392673,369303,5085,9.6,4092,7.8,131638,62292,69346,16.9,35.6,84227,50250,33977,13.6,22.8,47411,12.8,45.6,0,3111,3120,38762
1978,20,c) 10 to 19,47268,47653,695075,663338,2202,4.6,2323,4.9,174897,55107,119790,8.3,26.4,110470,58389,52081,8.8,16.7,64427,9.7,33.4,0,1662,1671,43295
1978,20,d) 20 to 49,42105,43695,1360493,1306759,1111,2.5,1638,3.7,281872,57521,224351,4.4,21.6,172533,83175,89358,6.4,13.2,109339,8.4,26.4,0,918,941,53578
1978,20,e) 50 to 99,17410,19921,1212327,1176071,596,3,903,4.5,217526,37313,180213,3.2,18.5,144554,70175,74379,6,12.3,72972,6.2,24.6,0,282,302,37691
1978,20,f) 100 to 249,10865,15963,1576482,1533285,693,4.3,880,5.5,264972,48876,216096,3.2,17.3,177326,79688,97638,5.2,11.6,87646,5.7,23.2,0,121,129,34971
1978,20,g) 250 to 499,3684,8137,1126377,1097908,445,5.5,494,6.1,171019,34953,136066,3.2,15.6,113915,46160,67755,4.2,10.4,57104,5.2,20.8,0,14,15,9601
1978,20,h) 500 to 999,1940,6444,1100677,1083361,338,5.2,456,7,149266,24744,124522,2.3,13.8,113135,46103,67032,4.3,10.4,36131,3.4,20.8,0,6,8,8310
1978,20,i) 1000 to 2499,1206,7278,1384485,1357872,423,5.8,514,7,183742,36057,147685,2.7,13.5,130570,48368,82202,3.6,9.6,53172,3.9,19.2,1,1,1,
1978,20,j) 2500 to 4999,571,5783,1249371,1223922,328,5.7,352,6.1,158771,39054,119717,3.2,13,108524,35075,73449,2.9,8.9,50247,4.1,17.8,0,,,
1978,20,k) 5000 to 9999,386,5554,1392754,1392712,266,4.7,397,7.1,147037,30242,116795,2.2,10.6,146367,36764,109603,2.6,10.5,670,0.1,21,0,,,
